name,hp,atk,def,spa,spd,spe,weight,height,types,abilities,formats,isNonstandard,oob
Miraidon,100,85,100,135,115,135,240,3.5,"['Electric', 'Dragon']",['Hadron Engine'],['Uber'],Standard,"{'dex_number': 1008, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Walking Wake,99,83,91,125,83,109,280,3.5,"['Water', 'Dragon']",['Protosynthesis'],['OU'],Standard,"{'dex_number': 1009, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Electrode,60,50,70,80,80,150,66.6,1.2,['Electric'],"['Soundproof', 'Static', 'Aftermath']",['ZU'],Standard,"{'dex_number': 101, 'evos': [], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Electrode-Hisui,60,50,70,80,80,150,71,1.2,"['Electric', 'Grass']","['Soundproof', 'Static', 'Aftermath']",['PU'],Standard,"{'dex_number': 101, 'evos': [], 'alts': [], 'genfamily': ['SS', 'SV']}"
Iron Leaves,90,130,88,70,108,104,125,1.5,"['Grass', 'Psychic']",['Quark Drive'],['RU'],Standard,"{'dex_number': 1010, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Dipplin,80,80,110,95,80,40,4.4,0.4,"['Grass', 'Dragon']","['Supersweet Syrup', 'Gluttony', 'Sticky Hold']",['ZU'],Standard,"{'dex_number': 1011, 'evos': ['Hydrapple'], 'alts': [], 'genfamily': ['SV']}"
Poltchageist,40,45,45,74,54,50,1.1,0.1,"['Grass', 'Ghost']","['Hospitality', 'Heatproof']",['LC'],Standard,"{'dex_number': 1012, 'evos': ['Sinistcha'], 'alts': [], 'genfamily': ['SV']}"
Poltchageist-Artisan,40,45,45,74,54,50,1.1,0.1,"['Grass', 'Ghost']","['Hospitality', 'Heatproof']",['LC'],Standard,"{'dex_number': 1012, 'evos': ['Sinistcha-Masterpiece'], 'alts': [], 'genfamily': ['SV']}"
Sinistcha,71,60,106,121,80,70,2.2,0.2,"['Grass', 'Ghost']","['Hospitality', 'Heatproof']",['UU'],Standard,"{'dex_number': 1013, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Sinistcha-Masterpiece,71,60,106,121,80,70,2.2,0.2,"['Grass', 'Ghost']","['Hospitality', 'Heatproof']",['UU'],Standard,"{'dex_number': 1013, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Okidogi,88,128,115,58,86,80,92,1.8,"['Poison', 'Fighting']","['Toxic Chain', 'Guard Dog']",['RU'],Standard,"{'dex_number': 1014, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Munkidori,88,75,66,130,90,106,12.2,1,"['Poison', 'Psychic']","['Toxic Chain', 'Frisk']",['NU'],Standard,"{'dex_number': 1015, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Fezandipiti,88,91,82,70,125,99,30.1,1.4,"['Poison', 'Fairy']","['Toxic Chain', 'Technician']",['RU'],Standard,"{'dex_number': 1016, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Ogerpon,80,120,84,60,96,110,39.8,1.2,['Grass'],['Defiant'],['UU'],Standard,"{'dex_number': 1017, 'evos': [], 'alts': ['Ogerpon-Teal-Tera'], 'genfamily': ['SV']}"
Ogerpon-Cornerstone,80,120,84,60,96,110,39.8,1.2,"['Grass', 'Rock']",['Sturdy'],['UU'],Standard,"{'dex_number': 1017, 'evos': [], 'alts': ['Ogerpon-Cornerstone-Tera'], 'genfamily': ['SV']}"
Ogerpon-Hearthflame,80,120,84,60,96,110,39.8,1.2,"['Grass', 'Fire']",['Mold Breaker'],['Uber'],Standard,"{'dex_number': 1017, 'evos': [], 'alts': ['Ogerpon-Hearthflame-Tera'], 'genfamily': ['SV']}"
Ogerpon-Wellspring,80,120,84,60,96,110,39.8,1.2,"['Grass', 'Water']",['Water Absorb'],['OU'],Standard,"{'dex_number': 1017, 'evos': [], 'alts': ['Ogerpon-Wellspring-Tera'], 'genfamily': ['SV']}"
Archaludon,90,105,130,125,65,85,60,2,"['Steel', 'Dragon']","['Stamina', 'Sturdy', 'Stalwart']",['Uber'],Standard,"{'dex_number': 1018, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Hydrapple,106,80,110,120,80,44,93,1.8,"['Grass', 'Dragon']","['Supersweet Syrup', 'Regenerator', 'Sticky Hold']",['UU'],Standard,"{'dex_number': 1019, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Exeggcute,60,40,80,60,45,40,2.5,0.4,"['Grass', 'Psychic']","['Chlorophyll', 'Harvest']",['LC'],Standard,"{'dex_number': 102, 'evos': ['Exeggutor', 'Exeggutor-Alola'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Gouging Fire,105,115,121,65,93,91,590,3.5,"['Fire', 'Dragon']",['Protosynthesis'],['OU'],Standard,"{'dex_number': 1020, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Raging Bolt,125,73,91,137,89,75,480,5.2,"['Electric', 'Dragon']",['Protosynthesis'],['OU'],Standard,"{'dex_number': 1021, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Iron Boulder,90,120,80,68,108,124,162.5,1.5,"['Rock', 'Psychic']",['Quark Drive'],['UU'],Standard,"{'dex_number': 1022, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Iron Crown,90,72,100,122,108,98,156,1.6,"['Steel', 'Psychic']",['Quark Drive'],['UU'],Standard,"{'dex_number': 1023, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Terapagos,90,65,85,65,85,60,6.5,0.2,['Normal'],['Tera Shift'],['Uber'],Standard,"{'dex_number': 1024, 'evos': [], 'alts': ['Terapagos-Terastal', 'Terapagos-Stellar'], 'genfamily': ['SV']}"
Pecharunt,88,88,160,88,88,88,0.3,0.3,"['Poison', 'Ghost']",['Poison Puppeteer'],['UU'],Standard,"{'dex_number': 1025, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Exeggutor,95,95,85,125,75,55,120,2,"['Grass', 'Psychic']","['Chlorophyll', 'Harvest']",['ZU'],Standard,"{'dex_number': 103, 'evos': [], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Exeggutor-Alola,95,105,85,125,75,45,415.6,10.9,"['Grass', 'Dragon']","['Frisk', 'Harvest']",['PU'],Standard,"{'dex_number': 103, 'evos': [], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Cubone,50,50,95,40,50,35,6.5,0.4,['Ground'],"['Rock Head', 'Lightning Rod', 'Battle Armor']",['National Dex'],NatDex,"{'dex_number': 104, 'evos': ['Marowak', 'Marowak-Alola'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Marowak,60,80,110,50,80,45,45,1,['Ground'],"['Rock Head', 'Lightning Rod', 'Battle Armor']",['National Dex'],NatDex,"{'dex_number': 105, 'evos': [], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Marowak-Alola,60,80,110,50,80,45,34,1,"['Fire', 'Ghost']","['Cursed Body', 'Lightning Rod', 'Rock Head']",['National Dex'],NatDex,"{'dex_number': 105, 'evos': [], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Marowak-Alola-Totem,60,80,110,50,80,45,98,1.7,"['Fire', 'Ghost']",['Rock Head'],['National Dex'],NatDex,"{'dex_number': 105, 'evos': [], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Hitmonlee,50,120,53,35,110,87,49.8,1.5,['Fighting'],"['Limber', 'Reckless', 'Unburden']",['PU'],Standard,"{'dex_number': 106, 'evos': [], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Hitmonchan,50,105,79,35,110,76,50.2,1.4,['Fighting'],"['Keen Eye', 'Iron Fist', 'Inner Focus']",['PU'],Standard,"{'dex_number': 107, 'evos': [], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Lickitung,90,55,75,60,75,30,65.5,1.2,['Normal'],"['Own Tempo', 'Oblivious', 'Cloud Nine']",['National Dex'],NatDex,"{'dex_number': 108, 'evos': ['Lickilicky'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Koffing,40,65,95,60,45,35,1,0.6,['Poison'],"['Levitate', 'Neutralizing Gas', 'Stench']",['LC'],Standard,"{'dex_number': 109, 'evos': ['Weezing', 'Weezing-Galar'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Metapod,50,20,55,25,25,30,9.9,0.7,['Bug'],['Shed Skin'],['National Dex'],NatDex,"{'dex_number': 11, 'evos': ['Butterfree'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Weezing,65,90,120,85,70,60,9.5,1.2,['Poison'],"['Levitate', 'Neutralizing Gas', 'Stench']",['PU'],Standard,"{'dex_number': 110, 'evos': [], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Weezing-Galar,65,90,120,85,70,60,16,3,"['Poison', 'Fairy']","['Levitate', 'Neutralizing Gas', 'Misty Surge']",['UU'],Standard,"{'dex_number': 110, 'evos': [], 'alts': [], 'genfamily': ['SS', 'SV']}"
Rhyhorn,80,85,95,30,30,25,115,1,"['Ground', 'Rock']","['Lightning Rod', 'Rock Head', 'Reckless']",['LC'],Standard,"{'dex_number': 111, 'evos': ['Rhydon'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Rhydon,105,130,120,45,45,40,120,1.9,"['Ground', 'Rock']","['Lightning Rod', 'Rock Head', 'Reckless']",['ZU'],Standard,"{'dex_number': 112, 'evos': ['Rhyperior'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Chansey,250,5,5,35,105,50,34.6,1.1,['Normal'],"['Natural Cure', 'Serene Grace', 'Healer']",['RU'],Standard,"{'dex_number': 113, 'evos': ['Blissey'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Tangela,65,55,115,100,40,60,35,1,['Grass'],"['Chlorophyll', 'Leaf Guard', 'Regenerator']",['National Dex'],NatDex,"{'dex_number': 114, 'evos': ['Tangrowth'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Kangaskhan,105,95,80,40,80,90,80,2.2,['Normal'],"['Early Bird', 'Scrappy', 'Inner Focus']",['National Dex'],NatDex,"{'dex_number': 115, 'evos': [], 'alts': ['Kangaskhan-Mega'], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Horsea,30,40,70,70,25,60,8,0.4,['Water'],"['Swift Swim', 'Sniper', 'Damp']",['LC'],Standard,"{'dex_number': 116, 'evos': ['Seadra'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Seadra,55,65,95,95,45,85,25,1.2,['Water'],"['Poison Point', 'Sniper', 'Damp']",['NFE'],Standard,"{'dex_number': 117, 'evos': ['Kingdra'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Goldeen,45,67,60,35,50,63,15,0.6,['Water'],"['Swift Swim', 'Water Veil', 'Lightning Rod']",['National Dex'],NatDex,"{'dex_number': 118, 'evos': ['Seaking'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Seaking,80,92,65,65,80,68,39,1.3,['Water'],"['Swift Swim', 'Water Veil', 'Lightning Rod']",['National Dex'],NatDex,"{'dex_number': 119, 'evos': [], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Butterfree,60,45,50,90,80,70,32,1.1,"['Bug', 'Flying']","['Compound Eyes', 'Tinted Lens']",['National Dex'],NatDex,"{'dex_number': 12, 'evos': [], 'alts': ['Butterfree-Gmax'], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Staryu,30,45,55,70,55,85,34.5,0.8,['Water'],"['Illuminate', 'Natural Cure', 'Analytic']",['National Dex'],NatDex,"{'dex_number': 120, 'evos': ['Starmie'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Starmie,60,75,85,100,85,115,80,1.1,"['Water', 'Psychic']","['Illuminate', 'Natural Cure', 'Analytic']",['National Dex'],NatDex,"{'dex_number': 121, 'evos': [], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Mr. Mime,40,45,65,100,120,90,54.5,1.3,"['Psychic', 'Fairy']","['Soundproof', 'Filter', 'Technician']",['National Dex'],NatDex,"{'dex_number': 122, 'evos': [], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Mr. Mime-Galar,50,65,65,90,90,100,56.8,1.4,"['Ice', 'Psychic']","['Vital Spirit', 'Screen Cleaner', 'Ice Body']",['National Dex'],NatDex,"{'dex_number': 122, 'evos': ['Mr. Rime'], 'alts': [], 'genfamily': ['SS', 'SV']}"
Scyther,70,110,80,55,80,105,56,1.5,"['Bug', 'Flying']","['Swarm', 'Technician', 'Steadfast']",['PU'],Standard,"{'dex_number': 123, 'evos': ['Kleavor', 'Scizor'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Jynx,65,50,35,115,95,95,40.6,1.4,"['Ice', 'Psychic']","['Oblivious', 'Forewarn', 'Dry Skin']",['National Dex'],NatDex,"{'dex_number': 124, 'evos': [], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Electabuzz,65,83,57,95,85,105,30,1.1,['Electric'],"['Static', 'Vital Spirit']",['NFE'],Standard,"{'dex_number': 125, 'evos': ['Electivire'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Magmar,65,95,57,100,85,93,44.5,1.3,['Fire'],"['Flame Body', 'Vital Spirit']",['NFE'],Standard,"{'dex_number': 126, 'evos': ['Magmortar'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Pinsir,65,125,100,55,70,85,55,1.5,['Bug'],"['Hyper Cutter', 'Mold Breaker', 'Moxie']",['National Dex'],NatDex,"{'dex_number': 127, 'evos': [], 'alts': ['Pinsir-Mega'], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Tauros,75,100,95,40,70,110,88.4,1.4,['Normal'],"['Intimidate', 'Anger Point', 'Sheer Force']",['ZU'],Standard,"{'dex_number': 128, 'evos': [], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Tauros-Paldea-Aqua,75,110,105,30,70,100,110,1.4,"['Fighting', 'Water']","['Intimidate', 'Anger Point', 'Cud Chew']",['PU'],Standard,"{'dex_number': 128, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
